article_id,article_name,target_fill_rate,realized_fill_rate,total_demand,filled_demand,lost_sales,avg_on_hand,orders_placed,units_ordered,avg_R,Q
1294,Bed textile,0.998951416015625,1.0,3886,3886,0,566.4475138121547,3376,3376,1298.4364640883978,1
1296,Bath textiles and bath mats,0.998951416015625,0.7743303571428571,26880,20814,6066,4493.3370165745855,137,69048,21144.342541436465,504
1304,Tableware,0.998951416015625,1.0,5563,5563,0,586.6408839779006,260,6240,799.1657458563536,24
1307,Suitcases,0.998951416015625,1.0,491,491,0,73.35911602209944,17,391,74.30386740331491,23
1311,Table textiles,0.998951416015625,1.0,8480,8480,0,10416.773480662983,8242,8242,14196.497237569061,1
1314,Dishwashing articles,0.998951416015625,1.0,284,284,0,13270.729281767955,0,0,12539.430939226519,1
1316,Cutlery,0.998951416015625,1.0,2105,2105,0,301.56353591160223,9,2160,256.3259668508287,240
1318,Foods,0.998951416015625,1.0,634,634,0,2558.6132596685084,147,147,2477.3480662983425,1
1321,Vases,0.998951416015625,1.0,434,434,0,253.13259668508286,1,252,127.71270718232044,252
1322,"Glasses (drink, beer, wine etc)",0.998951416015625,1.0,417,417,0,233.8011049723757,98,392,269.8729281767956,4
1325,Drink & food To Go,0.998951416015625,1.0,49,49,0,518.707182320442,2,2,477.48618784530385,1
1327,Tableware,0.998951416015625,1.0,4841,4841,0,655.8508287292817,207,4968,830.292817679558,24
1329,"Cloths, mops, sponges and brush",0.998951416015625,1.0,21,21,0,5419.823204419889,9,9,5418.060773480663,1
1330,Cutlery,0.998951416015625,1.0,2487,2487,0,232.86187845303868,69,2484,307.4640883977901,36
1333,Cutlery,0.998951416015625,1.0,418,418,0,43.15469613259668,11,396,40.54696132596685,36
1334,Hobby and creative,0.998951416015625,1.0,1836,1836,0,69.5524861878453,118,1888,169.5745856353591,16
1337,Hobby and creative,0.998951416015625,1.0,6390,6390,0,430.70165745856355,645,6450,658.8618784530387,10
1340,Games,0.998951416015625,1.0,5073,5073,0,678.2044198895028,10,4800,562.4861878453039,480
1347,Stuffed animals,0.998951416015625,1.0,3581,3581,0,214.72375690607734,617,3702,387.89502762430936,6
1352,Hobby and creative,0.998951416015625,1.0,252,252,0,571.9337016574585,0,0,355.48618784530385,336
1356,"Glasses (drink, beer, wine etc)",0.998951416015625,0.9875,8720,8611,109,752.4364640883978,12,8064,731.1160220994475,672
1357,"Glasses (drink, beer, wine etc)",0.998951416015625,1.0,1325,1325,0,1346.5303867403316,1,756,919.878453038674,756
1361,Light bulbs,0.998951416015625,1.0,1538,1538,0,332.8729281767956,3,1155,195.22651933701658,385
